P,P_sigma,Rplanet,Rplanet_sigma,Teff,Teff_sigma,Rstar,Rstar_sigma
2.896005211,4.317e-06,1.23,0.10500000000000001,3731.0,78.0,0.498,0.042499999999999996
22.78078241,3.951e-05,2.17,0.185,3731.0,78.0,0.498,0.042499999999999996
8.75209691,1.306e-05,1.83,0.16,3731.0,78.0,0.498,0.042499999999999996
5.90127815,7.03e-06,1.94,0.165,3731.0,78.0,0.498,0.042499999999999996
7.06117322,1.207e-05,1.23,0.085,4042.0,80.0,0.49,0.0335
1.922799706,4.693e-06,1.28,0.08,5194.0,77.5,0.815,0.05
9.69501146,4.657e-05,2.08,0.41500000000000004,5896.0,185.0,0.914,0.1825
15.3825394,0.0001144,2.14,0.43,5896.0,185.0,0.914,0.1825
1.937029968,2.605e-06,0.87,0.06,4042.0,80.0,0.49,0.0335
33.8845825,0.0003864,1.74,0.32,5607.0,152.0,0.886,0.161
10.8644095,4.884e-05,1.14,0.16,3526.0,74.5,0.383,0.053000000000000005
5.841636615,9.841e-06,1.38,0.19,3526.0,74.5,0.383,0.053000000000000005
19.85029495,5.525e-05,1.52,0.21000000000000002,3526.0,74.5,0.383,0.053000000000000005
34.1420506,0.0002289,1.06,0.14500000000000002,3526.0,74.5,0.383,0.053000000000000005
63.3354719,0.000927,1.18,0.16499999999999998,3526.0,74.5,0.383,0.053000000000000005
10.47548084,1.801e-05,2.11,0.10500000000000001,4463.0,88.0,0.611,0.03
22.92886314,8.544e-05,2.08,0.1,4463.0,88.0,0.611,0.03
77.4740991,0.0003593,2.63,0.13,4463.0,88.0,0.611,0.03
4.51436096,1.371e-05,1.84,0.275,5940.0,75.0,1.215,0.181
4.16811839,1.602e-05,2.28,0.395,5689.0,77.0,1.313,0.22699999999999998
10.44635944,2.434e-05,2.18,0.42000000000000004,5968.0,170.0,0.881,0.1705
40.7150498,0.0001383,2.2,0.43,5968.0,170.0,0.881,0.1705
9.7704486,1.455e-05,2.23,0.17,3906.0,82.0,0.509,0.039
92.7495777,0.0006942,1.87,0.09,4141.0,87.0,0.582,0.028499999999999998
11.36113254,2.414e-05,2.6,0.575,6244.0,186.0,1.009,0.2235
13.19720694,1.212e-05,4.18,2.71,4954.0,148.0,0.885,0.573
33.6528474,0.0001054,3.05,1.98,4954.0,148.0,0.885,0.573
11.41911886,7.774e-05,3.32,0.71,6311.0,210.0,1.172,0.2505
12.282998287,8.001e-06,2.83,0.19,3879.0,81.0,0.537,0.035500000000000004
17.25121397,1.814e-05,2.64,0.175,3879.0,81.0,0.537,0.035500000000000004
3.543919702,4.494e-06,1.21,0.08,3879.0,81.0,0.537,0.035500000000000004
46.82767725,9.794e-05,2.13,0.14,3879.0,81.0,0.537,0.035500000000000004
13.32389352,4.715e-05,1.26,0.27,3751.0,219.0,0.45,0.096
1.04562195,2.717e-06,1.45,0.2,5344.0,80.0,1.013,0.141
9.94602357,2.07e-05,3.12,0.435,5344.0,80.0,1.013,0.141
10.035381809,6.475e-06,4.42,0.7549999999999999,5813.0,165.5,0.833,0.142
33.1996355,0.0001397,2.85,0.2,5102.0,80.0,0.88,0.063
15.74958583,4.701e-05,2.77,0.595,6191.0,194.0,1.025,0.2215
6.66833241,3.449e-05,1.18,0.215,4201.0,546.0,0.591,0.109
10.8484518,1.631e-05,2.34,0.435,4201.0,546.0,0.591,0.109
16.56062577,4.465e-05,2.94,0.5700000000000001,5818.0,175.0,0.855,0.1665
5.71462396,3.25e-05,1.78,0.245,5344.0,80.0,1.013,0.141
10.7769944,0.0001209,1.15,0.21000000000000002,5455.0,162.0,0.852,0.1585
18.75470238,5.267e-05,1.67,0.155,3976.0,168.0,0.54,0.05
12.30971679,4.786e-05,3.82,0.745,6366.0,116.0,1.697,0.3325
35.7353616,0.0001224,5.47,1.07,6366.0,116.0,1.697,0.3325
98.353149,0.001793,4.13,0.8049999999999999,6366.0,116.0,1.697,0.3325
20.09017037,6.63e-05,2.25,0.175,3906.0,82.0,0.509,0.039
14.64613058,7.959e-05,2.22,0.385,5717.0,164.5,0.884,0.1535
36.33750453,7.262e-05,5.3,0.9199999999999999,5717.0,164.5,0.884,0.1535
148.272013,0.0008254,4.3,0.75,5717.0,164.5,0.884,0.1535
11.00817635,1.701e-05,2.15,0.10500000000000001,4141.0,87.0,0.582,0.028499999999999998
5.169804269,9.036e-06,1.66,0.13,3906.0,82.0,0.509,0.039
6.61836309,2.529e-05,2.98,0.575,5529.0,74.5,1.294,0.2495
107.7214092,0.0008283,4.75,0.92,5529.0,74.5,1.294,0.2495
3.353732008,3.996e-06,1.65,0.155,3789.0,78.5,0.46,0.044
6.877446033,8.893e-06,2.05,0.2,3789.0,78.5,0.46,0.044
28.46464804,8.805e-05,1.87,0.18,3789.0,78.5,0.46,0.044
7.13969705,2.9e-05,2.24,0.455,6014.0,200.5,0.993,0.19999999999999998
11.29689442,6.912e-05,1.74,0.21500000000000002,6096.0,82.0,1.176,0.146
2.20829637,1.798e-05,1.36,0.245,6028.0,81.0,1.454,0.2635
2.757584622,6.935e-06,1.01,0.12,3683.0,80.5,0.424,0.05
49.4781446,0.0002006,1.88,0.34500000000000003,5776.0,146.5,0.849,0.1575
3.016182013,9.751e-06,2.25,0.41000000000000003,5611.0,79.5,1.4,0.257
27.5071114,0.0001724,2.58,0.535,5783.0,166.0,0.88,0.1825
6.230335,1.007e-05,3.7,0.525,5477.0,181.5,0.865,0.1235
5.82348911,1.333e-05,3.0,0.575,5774.0,180.5,0.864,0.166
14.53410833,5.022e-05,1.36,0.08,3957.0,79.0,0.553,0.033
205.912735,0.001169,4.68,0.5,5644.0,80.0,0.969,0.104
7.01733571,5.169e-05,1.61,0.35,6052.0,181.0,0.967,0.2125
56.3587987,0.0002655,5.04,0.74,5446.0,162.0,0.821,0.121
16.00460392,5.995e-05,2.24,0.24,5180.0,155.0,0.769,0.0835
8.19596647,3.998e-05,2.04,0.16,4723.0,167.0,0.747,0.0575
24.81097206,1.931e-05,4.22,0.88,6086.0,191.0,0.921,0.192
2.35574505,1.021e-05,1.34,0.07,4915.0,83.0,0.812,0.0425
8.17242644,2.683e-05,3.29,0.315,5705.0,76.0,0.905,0.0865
19.65639342,6.986e-05,2.83,0.325,5288.0,151.0,0.74,0.086
18.45848388,4.882e-05,2.5,0.235,5311.0,79.5,0.948,0.09
9.02930689,1.648e-05,2.57,0.35,5349.0,167.0,0.82,0.11149999999999999
4.783002698,5.432e-06,2.5,0.265,5170.0,155.0,0.807,0.08549999999999999
4.220965778,2.584e-06,2.62,0.58,3837.0,370.0,0.517,0.114
13.81020318,2.968e-05,4.56,1.105,5942.0,184.5,1.142,0.2775
32.3122867,0.0001736,4.84,0.925,5821.0,79.0,1.494,0.28500000000000003
4.59726613,2.459e-05,1.69,0.35000000000000003,5999.0,199.5,0.959,0.2
9.22961384,4.278e-05,2.79,0.32999999999999996,6320.0,81.5,1.252,0.1485
6.79685353,2.247e-05,2.01,0.41000000000000003,6061.0,189.0,0.97,0.2
7.71790675,4.487e-05,0.9,0.065,3975.0,79.0,0.509,0.037
37.8102649,0.0002147,2.33,0.505,6085.0,191.0,0.973,0.2115
64.617518,0.0001938,5.4,0.5800000000000001,5043.0,156.5,0.881,0.0945
7.6746614,2.378e-05,2.8,0.59,6063.0,211.0,1.001,0.212
7.34373964,1.134e-05,1.84,0.27,5757.0,155.0,0.762,0.112
9.38740646,2.454e-05,1.69,0.08499999999999999,4500.0,90.0,0.646,0.033
7.41556471,5.357e-05,0.79,0.04,4500.0,90.0,0.646,0.033
5.1443645,2.237e-05,1.55,0.13,5157.0,80.5,0.904,0.076
9.97716876,8.015e-05,2.53,0.525,5557.0,77.5,1.616,0.3335
3.72020708,1.761e-05,0.99,0.1,5017.0,151.0,0.797,0.08199999999999999
2.578852119,5.696e-06,1.63,0.305,5743.0,162.5,0.853,0.1615
109.4450597,0.000434,3.04,0.24000000000000002,5403.0,107.0,0.868,0.069
4.88753111,2.174e-05,2.45,0.405,5568.0,174.5,0.957,0.158
13.59051547,5.634e-05,2.4,0.47,5442.0,164.0,0.974,0.1905
22.0459163,0.0001114,3.05,0.515,5900.0,184.5,0.951,0.16
22.8245144,0.000235,3.36,0.6599999999999999,6642.0,131.0,1.846,0.36250000000000004
39.3135699,0.0001483,2.07,0.39,6060.0,172.0,0.925,0.1745
2.800111267,4.014e-06,2.13,0.185,4786.0,137.0,0.704,0.06
14.8444836,0.0002121,2.49,0.49,6642.0,131.0,1.846,0.36250000000000004
80.2321467,0.0003914,3.24,0.28500000000000003,5436.0,81.0,0.888,0.078
10.1171684,2.722e-05,3.07,0.615,6306.0,81.0,1.792,0.35850000000000004
7.72085047,2.08e-05,2.53,0.4,5887.0,117.0,1.177,0.186
4.19577385,1.568e-05,3.02,0.755,5229.0,183.0,1.005,0.2525
8.77997349,3.19e-05,2.12,0.22999999999999998,5191.0,155.0,0.764,0.0835
9.76293284,4.683e-05,1.94,0.20500000000000002,5052.0,151.0,0.816,0.0865
13.36019864,5.956e-05,1.84,0.12,4500.0,130.0,0.688,0.044
29.4557841,0.0001187,2.19,0.45,6036.0,180.0,0.949,0.1945
16.34355902,7.639e-05,3.26,0.395,5730.0,81.5,1.056,0.1275
10.08744556,2.418e-05,3.15,0.64,6310.0,186.5,1.095,0.2235
40.0686713,0.0001018,3.1,0.655,6026.0,182.0,0.992,0.21050000000000002
38.3262237,0.000273,2.43,0.195,5229.0,78.0,0.903,0.072
4.04355245,1.255e-05,1.75,0.115,3871.0,80.5,0.532,0.0345
29.5390897,0.000198,2.51,0.535,6572.0,205.5,1.238,0.2645
1.480283464,6.172e-06,0.97,0.165,5897.0,111.0,1.259,0.214
70.468171,0.000268,3.46,0.74,6461.0,191.5,1.131,0.242
10.4188915,2.388e-05,3.17,0.75,5692.0,173.0,1.064,0.251
59.6585348,0.0005578,3.59,0.235,5243.0,78.5,0.831,0.05450000000000001
15.13590453,6.155e-05,2.57,0.745,6050.0,211.0,1.572,0.459
6.45442931,1.25e-05,2.48,0.505,6092.0,190.5,0.943,0.1925
16.84183355,6.239e-05,3.08,0.635,5602.0,158.0,1.009,0.20700000000000002
88.6440015,0.0002922,2.51,0.26,5661.0,106.5,0.934,0.098
20.55331441,7.507e-05,3.19,0.68,6325.0,195.5,1.112,0.2355
161.5278347,0.0003206,8.19,1.295,5778.0,78.0,1.213,0.192
39.7529915,0.0001149,2.37,0.515,6072.0,182.0,1.01,0.22
4.592393816,3.023e-06,2.51,0.325,5351.0,159.0,0.796,0.102
20.4998763,0.0001716,2.8,0.615,6249.0,195.5,1.076,0.2355
5.79529495,3.623e-05,1.05,0.065,3757.0,79.0,0.539,0.034
62.5613879,0.0003187,3.54,0.62,5662.0,160.5,0.84,0.1465
29.92208104,6.9e-05,3.09,0.78,6127.0,186.0,1.637,0.4135
147.97391,0.00116,3.33,0.36,5578.0,105.5,0.95,0.10250000000000001
9.75374033,4.46e-05,1.87,0.325,5806.0,166.0,0.899,0.1555
4.42535097,1.714e-05,1.63,0.245,5946.0,75.0,1.223,0.181
13.19322809,3.205e-05,2.94,0.435,5946.0,75.0,1.223,0.181
69.8956789,0.0005243,3.04,0.565,5390.0,76.0,1.104,0.20600000000000002
14.83340944,8.043e-05,2.54,0.245,5570.0,78.5,0.904,0.087
15.03366411,6.423e-05,1.7,0.145,5523.0,78.0,0.891,0.0745
47.7052566,0.0004697,2.89,0.13,4551.0,90.0,0.672,0.03
20.49041,0.0001751,2.34,0.445,5681.0,190.0,0.923,0.176
8.41100305,2.326e-05,1.8,0.11,3757.0,79.0,0.539,0.034
5.47665801,1.349e-05,2.01,0.155,4650.0,132.0,0.706,0.0535
83.4887405,0.0005889,2.95,0.62,5910.0,184.5,0.94,0.198
34.0607677,0.0001372,2.96,0.625,5910.0,184.5,0.94,0.198
12.03987488,1.825e-05,2.18,0.095,4261.0,85.0,0.633,0.0275
17.60461401,2.499e-05,2.64,0.19,3744.0,79.0,0.516,0.038
14.38682567,1.676e-05,2.54,0.355,5725.0,109.5,1.072,0.1505
24.2101973,0.0002461,1.5,0.115,4650.0,132.0,0.706,0.0535
25.8474958,0.0001702,2.4,0.5,6297.0,197.0,1.031,0.2135
40.715561,0.0002096,2.7,0.56,6297.0,197.0,1.031,0.2135
15.43400996,3.693e-05,4.3,0.85,5900.0,195.0,0.951,0.188
16.9348104,0.000199,1.31,0.1,4650.0,132.0,0.706,0.0535
9.51220046,3.21e-05,1.99,0.09,4224.0,84.0,0.603,0.028499999999999998
1.609321941,3.044e-06,1.57,0.07500000000000001,4224.0,84.0,0.603,0.028499999999999998
4.72941177,3.075e-05,1.22,0.055,4224.0,84.0,0.603,0.028499999999999998
5.77957133,2.378e-05,1.5,0.08,4102.0,81.0,0.581,0.031
5.62006198,2.995e-05,1.45,0.07,4868.0,78.0,0.746,0.0375
20.83762895,9.65e-05,1.42,0.065,4261.0,85.0,0.633,0.0275
33.3856176,0.0001409,2.48,0.5349999999999999,5833.0,166.0,1.022,0.22149999999999997
21.06075303,5.702e-05,1.78,0.235,5706.0,108.5,1.034,0.1345
13.81504449,2.515e-05,1.91,0.16,3732.0,79.0,0.509,0.042
30.6528935,0.0002234,2.86,0.5449999999999999,6200.0,124.0,1.64,0.31200000000000006
25.9421582,0.0001126,1.95,0.115,5167.0,82.0,0.796,0.047
12.70636123,1.923e-05,2.75,0.44,5573.0,157.5,0.839,0.134
7.71467686,2.907e-05,4.65,1.225,6900.0,194.0,2.599,0.6865
11.1895709,8.676e-05,1.81,0.33,6188.0,124.0,1.465,0.265
18.5010898,0.0001557,1.62,0.19,5242.0,150.0,0.734,0.086
142.545,0.002746,2.52,0.45999999999999996,5642.0,169.0,0.846,0.1555
4.4444826,2.427e-05,1.71,0.35,6240.0,195.5,1.079,0.2225
234.635652,0.001384,2.56,0.22,5422.0,107.0,0.885,0.077
3.84822189,1.659e-05,1.72,0.245,5927.0,77.0,1.193,0.173
5.95958637,4.4e-05,1.02,0.165,5452.0,164.0,0.9,0.1425
12.0999065,0.0001087,1.39,0.20500000000000002,5553.0,74.0,1.098,0.161
5.36375016,3.904e-05,1.15,0.165,5553.0,74.0,1.098,0.161
9.17858526,1.432e-05,2.3,0.36,5506.0,166.0,0.788,0.123
3.89524296,1.753e-05,1.13,0.065,5018.0,79.0,0.838,0.0475
65.9407869,0.0008703,2.33,0.46,5982.0,189.0,0.96,0.19
33.4969115,0.0004098,2.97,1.555,4928.0,140.5,1.688,0.8845000000000001
3.490785878,6.042e-06,1.32,0.165,5496.0,155.0,0.725,0.0885
57.2488518,0.000324,3.19,0.585,5642.0,169.0,0.846,0.1555
37.0551726,0.0002608,3.19,0.585,5642.0,169.0,0.846,0.1555
26.1363443,0.0001142,2.8,0.51,6188.0,124.0,1.465,0.265
11.8061737,0.0001518,2.87,0.76,6900.0,194.0,2.599,0.6865
17.84850835,6.499e-05,3.29,0.595,6188.0,124.0,1.465,0.265
4.73292061,1.979e-05,0.97,0.14,5595.0,150.0,0.796,0.115
23.3593589,0.0001278,2.98,0.66,6244.0,197.0,1.009,0.2235
16.85592593,6.43e-05,1.7,0.09,3967.0,79.0,0.587,0.0305
5.05368985,5.076e-05,1.21,0.24,5772.0,164.5,0.901,0.1805
6.07032548,3.174e-05,1.36,0.13,5076.0,158.5,0.763,0.07450000000000001
32.1340014,0.0002547,1.84,0.155,4347.0,130.0,0.524,0.045
44.8702042,0.00045,2.56,0.535,6122.0,213.5,0.996,0.208
24.2204192,0.000194,2.1,0.24,5165.0,162.0,0.761,0.087
4.09578199,2.002e-05,1.64,0.125,4791.0,136.0,0.742,0.056499999999999995
17.28116957,8.997e-05,2.04,0.175,4347.0,130.0,0.524,0.045
2.42150341,1.597e-05,1.62,0.32999999999999996,6213.0,216.0,1.195,0.2455
5.83376197,1.816e-05,2.98,0.615,6213.0,216.0,1.195,0.2455
2.98618134,2.655e-05,1.16,0.255,6173.0,214.5,1.041,0.2275
3.48412874,1.483e-05,1.16,0.11000000000000001,5696.0,77.0,0.921,0.0895
3.82223397,2.231e-05,1.05,0.065,3729.0,71.0,0.514,0.033
17.067644,0.0002088,1.62,0.35000000000000003,6347.0,188.5,0.996,0.2125
4.5770016,1.039e-05,1.33,0.07500000000000001,3805.0,68.5,0.497,0.028
3.42390809,1.79e-05,1.25,0.14,5788.0,82.0,1.015,0.115
7.36272124,1.93e-05,1.86,0.325,5868.0,157.5,0.894,0.154
2.39161966,1.199e-05,0.93,0.08499999999999999,4935.0,140.0,0.685,0.0645
15.59466045,4.228e-05,2.74,0.585,5900.0,184.5,0.929,0.198
2.76263737,1.624e-05,1.25,0.25,5772.0,164.5,0.901,0.1805
4.17939037,2.877e-05,1.52,0.235,5633.0,76.0,1.162,0.179
6.33125228,3.802e-05,1.31,0.165,5383.0,159.0,0.759,0.0945
4.0223109,1.498e-05,1.37,0.22,5516.0,149.0,0.827,0.1335
1.952711161,2.256e-06,2.58,0.51,5741.0,171.0,0.946,0.186
3.8259005,1.323e-05,3.45,0.44499999999999995,5223.0,183.0,0.885,0.11299999999999999
0.558841234,7.91e-07,1.33,0.135,5151.0,146.0,0.792,0.0795
56.5732318,0.0003096,2.69,0.11499999999999999,4701.0,79.0,0.775,0.033
34.4585495,0.0002173,1.88,0.35000000000000003,6161.0,184.5,0.862,0.1595
6.1469956,2.368e-05,2.04,0.30500000000000005,6110.0,82.0,1.296,0.1955
4.44589508,1.75e-05,1.94,0.385,5918.0,197.5,0.865,0.172
6.20920207,4.79e-05,0.89,0.16,5440.0,162.0,0.885,0.161
6.30922043,1.723e-05,1.37,0.11,4380.0,136.5,0.53,0.043
14.16400071,2.467e-05,2.35,0.42500000000000004,5440.0,162.0,0.885,0.161
103.4269873,0.0008676,3.16,0.6799999999999999,6208.0,226.5,1.024,0.22
8.98826122,9.232e-05,1.39,0.28500000000000003,5984.0,188.0,0.906,0.186
2.522590567,6.821e-06,25.82,4.445,5591.0,158.0,0.86,0.148
24.2758992,0.0002426,2.25,0.38,5745.0,191.0,0.837,0.142
19.94752741,7.976e-05,2.52,0.385,5749.0,161.5,0.864,0.1315
11.39169531,7.567e-05,1.02,0.20500000000000002,5557.0,100.0,1.249,0.2475
37.3033197,0.0005879,2.31,0.41,5646.0,186.0,0.817,0.14500000000000002
5.68879083,3.89e-05,0.99,0.07,4234.0,134.5,0.639,0.046
3.949627144,5.3e-06,2.32,0.255,5155.0,162.0,0.836,0.091
3.951383138,6.251e-06,23.51,4.365,5570.0,157.5,0.899,0.167
5.101375725,8.821e-06,2.84,0.59,5869.0,184.5,0.954,0.198
13.06243545,7.124e-05,1.36,0.11499999999999999,4522.0,136.0,0.655,0.055
2.790643481,4.44e-06,0.99,0.08,4353.0,124.5,0.603,0.05
4.95060632,2.014e-05,1.28,0.16,5431.0,162.0,0.717,0.0875
31.3351094,0.0003184,1.99,0.41,6404.0,182.5,1.142,0.2335
4.62602867,1.063e-05,1.65,0.295,5834.0,165.5,0.797,0.142
9.84262076,3.528e-05,2.41,0.39499999999999996,5585.0,184.5,0.972,0.1595
6.08003714,1.668e-05,1.07,0.105,4991.0,141.5,0.804,0.079
3.035206175,5.17e-06,3.59,0.585,5505.0,164.0,0.873,0.14250000000000002
15.5714121,0.0001077,0.72,0.045,3872.0,80.5,0.557,0.033
10.50682978,3.682e-06,9.01,0.95,5127.0,185.0,0.782,0.08249999999999999
14.1959621,0.00012,1.66,0.36,6214.0,205.0,1.076,0.2355
30.8278245,0.0003158,2.42,0.47500000000000003,5982.0,210.5,0.96,0.189
13.8353959,0.0002748,3.78,0.87,6020.0,211.0,1.057,0.2435
31.2543238,0.0003567,2.29,0.51,6246.0,216.5,1.092,0.2435
12.90235874,8.403e-05,1.49,0.23500000000000001,5530.0,166.0,0.788,0.123
47.0563327,0.0007067,2.57,0.535,5889.0,196.0,0.924,0.1915
37.8862977,0.000465,2.09,0.33999999999999997,5513.0,166.0,0.818,0.1335
30.2541186,0.000208,2.8,0.64,6277.0,189.0,1.161,0.2665
8.45746636,3.053e-05,1.87,0.16,4347.0,130.0,0.524,0.045
5.99078221,4.958e-05,1.03,0.11499999999999999,5721.0,107.5,0.972,0.10700000000000001
3.148661555,8.304e-06,2.15,0.345,5258.0,184.0,0.873,0.139
13.2226149,0.0001685,1.75,0.31,5931.0,169.5,0.863,0.154
52.6095103,0.0007321,1.83,0.31,5881.0,79.0,1.294,0.2175
15.3317719,0.0002039,1.91,0.33499999999999996,5726.0,82.0,1.285,0.22549999999999998
46.7162336,0.0008367,2.03,0.255,5856.0,79.0,1.092,0.1385
42.8774169,0.0002596,2.67,0.375,5256.0,184.0,0.832,0.11699999999999999
2.617028373,6.592e-06,1.57,0.135,4831.0,146.0,0.724,0.062
2.81814715,1.09e-05,1.3,0.08,5167.0,103.0,0.787,0.048
12.19140405,4.507e-05,2.46,0.54,5516.0,166.0,0.967,0.21100000000000002
44.2993483,0.0002664,2.68,0.215,5316.0,79.5,0.915,0.074
4.64495172,2.568e-05,1.38,0.315,6047.0,180.0,1.129,0.26
16.48686712,3.61e-05,27.45,5.345000000000001,6090.0,200.5,1.071,0.2085
31.0325991,0.0002042,2.64,0.485,5841.0,202.5,0.931,0.17149999999999999
16.4581861,5.977e-05,1.82,0.16,5475.0,77.5,0.884,0.077
22.1334224,0.0001092,1.76,0.185,5165.0,145.5,0.702,0.074
95.6114617,0.000863,2.37,0.255,6002.0,80.0,1.081,0.116
1.025857984,1.051e-06,1.57,0.09,5123.0,82.0,0.847,0.0495
1.615357809,2.324e-06,1.37,0.11,3821.0,80.0,0.486,0.0405
10.27380957,5.929e-05,1.68,0.12,5806.0,78.0,0.899,0.0645
5.186737262,7.369e-06,2.4,0.275,5230.0,158.0,0.777,0.089
114.73658,0.0001501,12.28,0.9750000000000001,5597.0,106.5,1.699,0.135
5.78387049,1.538e-05,2.07,0.415,6063.0,199.0,1.012,0.2015
3.13877646,1.164e-05,0.97,0.12,5242.0,157.0,0.722,0.087
20.67876365,6.41e-05,2.42,0.405,5865.0,111.0,1.272,0.213
7.16520428,2.673e-05,2.31,0.505,6174.0,216.5,1.103,0.243
76.421501,0.001323,2.81,0.46499999999999997,5561.0,79.0,1.19,0.1965
101.1323475,0.0005876,3.87,0.45499999999999996,5492.0,78.0,1.016,0.1195
11.92979348,6.659e-05,2.43,0.46,5831.0,174.5,0.921,0.174
21.3588236,0.0001094,2.52,0.535,6170.0,201.5,0.992,0.2105
13.81733587,9.263e-05,2.04,0.46,5735.0,155.0,1.028,0.2325
41.8854433,0.0001514,3.28,0.74,5735.0,155.0,1.028,0.2325
19.12947603,7.569e-05,4.23,0.8400000000000001,5372.0,76.0,1.71,0.33799999999999997
10.44087398,5.113e-05,3.41,0.735,5738.0,164.5,0.981,0.21100000000000002
116.583183,0.002231,2.91,0.625,5738.0,164.5,0.981,0.21100000000000002
7.72513619,5.341e-05,1.71,0.08,4245.0,85.0,0.637,0.028999999999999998
33.1362861,0.0002392,2.05,0.09,4245.0,85.0,0.637,0.028999999999999998
12.2885046,0.0001092,3.22,1.6600000000000001,5109.0,153.5,1.671,0.861
8.84784273,3.369e-05,1.15,0.07,3867.0,80.5,0.552,0.033
9.03326435,8.042e-05,1.96,0.245,5311.0,167.0,0.788,0.099
10.86062378,3.956e-05,2.09,0.59,6455.0,194.5,1.496,0.421
23.34036251,9.674e-05,2.21,0.445,5530.0,165.0,0.892,0.181
191.239133,0.00242,6.47,0.515,5597.0,106.5,1.699,0.135
5.25419589,1.901e-05,2.12,0.45499999999999996,6123.0,211.0,0.987,0.2115
150.2412582,0.0005486,4.6,0.5,5604.0,111.0,0.943,0.10250000000000001
88.0712769,0.0008497,2.4,0.125,4939.0,79.0,0.819,0.0435
2.7296036,1.312e-05,1.53,0.24,5887.0,74.5,1.235,0.194
3.59645081,3.644e-05,1.66,0.26,5887.0,74.5,1.235,0.194
3.886795001,6.844e-06,0.97,0.105,3751.0,79.5,0.443,0.0465
7.26731094,1.133e-05,1.14,0.12,3751.0,79.5,0.443,0.0465
13.3430025,2.57e-05,1.29,0.14,3751.0,79.5,0.443,0.0465
22.40777833,7.391e-05,1.15,0.12000000000000001,3751.0,79.5,0.443,0.0465
129.945392,0.001556,1.18,0.125,3751.0,79.5,0.443,0.0465
16.0573291,0.0001074,2.27,0.34,5644.0,152.0,0.806,0.1215
24.0884178,0.0001763,1.16,0.055,4213.0,84.0,0.598,0.029
12.55111099,3.528e-05,1.34,0.065,4213.0,84.0,0.598,0.029
2.524017517,6.547e-06,1.5,0.24,5420.0,169.0,0.871,0.1385
11.6601667,0.0001024,2.08,0.26,5791.0,82.0,1.083,0.136
9.88736642,8.5e-05,0.68,0.115,5693.0,144.5,0.816,0.14
1.302017467,3.298e-06,1.37,0.07,4948.0,79.0,0.816,0.042499999999999996
11.96407399,5.738e-05,3.21,0.6950000000000001,5903.0,166.5,0.961,0.20850000000000002
0.727331746,1.291e-06,0.67,0.10500000000000001,3460.0,76.0,0.356,0.057
48.8882668,0.0006649,2.96,0.135,4821.0,76.0,0.788,0.0365
5.90608902,3.734e-05,1.77,0.37,5966.0,196.5,0.961,0.1995
5.05661302,3.069e-05,1.15,0.22999999999999998,5926.0,193.5,0.939,0.188
40.4286676,0.0001805,2.92,0.525,5813.0,152.5,0.833,0.15
25.8859397,0.0002406,1.66,0.125,5190.0,81.0,0.899,0.067
14.02634692,3.997e-05,2.66,0.605,5970.0,194.5,1.131,0.2575
3.92453009,1.673e-05,1.82,0.305,5776.0,191.0,0.849,0.142
11.60653061,6.084e-05,1.88,0.09,4703.0,79.0,0.701,0.034
11.1296971,9.103e-05,1.93,0.41000000000000003,6122.0,211.0,0.964,0.203
57.2932309,0.0005315,1.95,0.16,4806.0,136.5,0.729,0.0605
2.0248205,1.002e-05,1.01,0.17,5865.0,111.0,1.272,0.213
5.03257009,2.318e-05,2.53,0.515,5970.0,179.0,0.908,0.1855
1.385787741,4.397e-06,0.55,0.03,4239.0,84.0,0.6,0.0295
12.02295362,2.788e-05,3.28,0.635,5982.0,177.5,0.879,0.17149999999999999
7.9709719,2.183e-05,2.27,0.25,5237.0,157.0,0.826,0.0905
9.59993246,2.139e-05,2.08,0.35,5865.0,111.0,1.272,0.213
1.86511236,7.3e-07,0.67,0.035,3258.0,21.0,0.175,0.006
1.53818001,1.545e-06,0.96,0.10500000000000001,3410.0,51.0,0.334,0.035500000000000004
1.2137706,2.4e-07,0.76,0.03,3258.0,21.0,0.175,0.006
2.88676239,3.77e-06,1.41,0.185,3673.0,92.0,0.539,0.056
0.45328731,5e-08,0.73,0.03,3258.0,21.0,0.175,0.006
6.71837,1e-05,6.38913,0.616495,5970.0,100.0,0.79,0.08499999999999999
21.750264,0.0019735,2.18,0.185,3654.47,95.945,0.402049,0.030941000000000003
140.2524,0.003,2.17,0.195,4807.0,100.0,0.693,0.027
38.09722,0.00021,1.6,0.18,3638.0,51.0,0.382,0.038
56.05623,0.00019,2.76,0.185,3674.0,40.0,0.502,0.0195
34.98956,0.00022,1.336,0.072,3931.0,47.0,0.549,0.0215
18.477644,1.11e-05,1.47,0.19,3430.0,48.0,0.272,0.035500000000000004
259.365,0.014,1.6,0.255,5906.0,165.0,0.835,0.132
60.86628,0.00049,2.15,0.14500000000000002,3950.0,56.0,0.566,0.026000000000000002
7.054259,2.7e-05,1.186,0.074,3931.0,47.0,0.549,0.0215
49.27668,0.00068,1.93,0.195,3950.0,113.0,0.518,0.0435
20.06039,4.9e-05,2.024,0.099,3996.0,55.0,0.495,0.023
7.825046,3e-05,1.201,0.067,3996.0,55.0,0.495,0.023
3.3402178,2.1e-06,2.169,0.101,3996.0,55.0,0.495,0.023
196.4356,0.0073,2.23,0.27,5461.0,100.0,0.915,0.084
46.18406,0.00027,2.007,0.099,3996.0,55.0,0.495,0.023
