P,P_sigma,Rplanet,Rplanet_sigma,Teff,Teff_sigma,Rstar,Rstar_sigma
21.80451611,4.733e-05,2.6,0.32999999999999996,5481.0,154.5,0.708,0.089
5.007316661,1.389e-06,6.96,1.185,5865.0,168.0,0.827,0.141
17.31711739,4.694e-05,2.04,0.10500000000000001,4719.0,147.5,0.502,0.026000000000000002
7.41113177,1.357e-05,2.45,0.51,5849.0,174.5,0.919,0.1925
8.09888906,2.181e-06,8.95,1.96,6214.0,195.5,1.076,0.2355
12.90467523,7.137e-05,1.49,0.06,4513.0,75.5,0.722,0.0295
10.00653012,2.001e-05,3.52,0.7450000000000001,6063.0,199.0,1.001,0.212
7.40742502,3.66e-05,2.01,0.415,5922.0,194.5,0.961,0.198
4.40841331,1.408e-05,2.66,0.56,6007.0,189.0,0.961,0.2035
12.8344771,3.995e-05,2.55,0.4,6078.0,127.0,1.189,0.1875
14.00640392,1.731e-05,3.11,0.43,5788.0,116.0,1.124,0.156
5.15448142,1.026e-05,2.94,0.51,5431.0,161.0,0.884,0.1535
5.743469797,7.276e-06,3.13,0.64,5897.0,168.0,0.891,0.182
6.104849417,2.711e-06,3.18,0.18,5085.0,102.0,0.712,0.04
11.51517167,1.566e-05,2.9,0.29500000000000004,5177.0,155.0,0.798,0.081
3.601465336,5.941e-06,2.31,0.145,5052.0,79.0,0.855,0.052500000000000005
8.360870704,6.061e-06,3.67,0.29,4743.0,142.0,0.81,0.064
7.03902016,1.467e-05,2.45,0.535,6321.0,187.5,1.058,0.23249999999999998
14.55387488,9.874e-05,3.45,0.625,6143.0,79.0,1.507,0.273
28.59914031,5.489e-05,1.83,0.185,3755.0,79.5,0.461,0.0465
24.58716355,8.739e-05,2.37,0.31,5474.0,155.0,0.749,0.0975
12.53248222,2.23e-05,3.24,0.63,5997.0,180.0,0.904,0.176
31.2012202,0.0003489,1.47,0.06,4513.0,75.5,0.722,0.0295
20.83426731,5.358e-05,2.74,0.45499999999999996,5537.0,166.0,0.88,0.14500000000000002
11.30123036,7.531e-05,1.85,0.255,5730.0,77.0,1.122,0.15350000000000003
3.573202801,9e-07,5.81,1.27,5646.0,210.0,1.08,0.236
3.166353562,2.532e-06,3.82,0.815,6007.0,190.0,0.998,0.212
2.85188338,4.323e-05,1.23,0.295,6123.0,229.0,1.107,0.2625
15.9868932,0.0002828,1.62,0.2,6049.0,81.5,1.176,0.1455
8.70798309,2.927e-05,2.01,0.105,4362.0,82.5,0.554,0.029500000000000002
9.467821474,6.129e-06,2.13,0.22,3582.0,80.0,0.458,0.0475
0.893040969,4.61e-07,1.24,0.125,3582.0,80.0,0.458,0.0475
9.93146307,5.186e-05,2.41,0.37,5782.0,78.0,1.22,0.186
9.61375316,1.143e-05,3.27,0.75,5997.0,190.0,1.11,0.254
7.74347801,3.085e-05,0.62,0.04,5051.0,159.0,0.721,0.044
1.224866441,4.135e-06,1.54,0.225,5553.0,74.0,1.107,0.161
18.92537246,5.231e-05,13.92,3.33,4941.0,83.5,4.885,1.1684999999999999
7.748094239,7.553e-06,5.52,1.13,5973.0,200.5,1.085,0.2225
8.11437482,1.092e-05,2.1,0.15000000000000002,3692.0,78.0,0.517,0.037000000000000005
35.8656484,0.0003421,2.44,0.385,6078.0,127.0,1.189,0.1875
21.81295996,7.229e-05,3.38,0.7,5601.0,166.0,0.999,0.20700000000000002
15.37562369,1.017e-05,11.01,0.63,4986.0,79.0,0.833,0.0475
7.42608123,1.88e-05,2.47,0.31,6049.0,81.5,1.176,0.1455
12.33087921,4.972e-05,2.34,0.33999999999999997,5376.0,186.0,0.806,0.11750000000000001
1.022678654,2.712e-06,1.14,0.14500000000000002,5366.0,76.0,1.02,0.1315
22.36646466,9.761e-05,2.32,0.27,5395.0,160.0,0.734,0.087
13.22175358,1.342e-05,2.38,0.15,5211.0,103.0,0.799,0.049
15.94248453,5.985e-05,2.62,0.38,5376.0,186.0,0.806,0.11750000000000001
26.39432897,5.724e-05,3.07,0.315,5129.0,154.0,0.763,0.079
12.611904345,6.65e-06,7.4,1.465,5795.0,164.5,0.919,0.182
2.539183147,5.073e-06,2.06,0.28500000000000003,5519.0,78.0,1.062,0.14700000000000002
6.770300385,9.537e-06,2.77,0.305,5653.0,166.0,0.679,0.0745
8.30865307,1.027e-05,2.42,0.15,5022.0,80.0,0.849,0.053000000000000005
20.50588921,3.206e-05,3.41,0.29500000000000004,4905.0,148.0,0.761,0.0665
3.895936525,7.71e-07,7.34,1.09,5557.0,167.0,0.774,0.115
6.365839713,8.06e-06,2.44,0.40499999999999997,5776.0,155.0,0.849,0.1415
4.583520948,4.18e-06,5.39,1.065,5815.0,166.0,0.877,0.1735
3.76181843,1.14e-05,2.66,0.495,5653.0,162.5,0.949,0.1765
17.44486016,4.901e-05,3.24,0.675,5568.0,166.0,0.966,0.201
2.237489571,5.022e-06,1.41,0.09,5265.0,78.5,0.81,0.051
3.167893418,3.869e-06,2.62,0.52,5895.0,174.0,0.94,0.188
11.41926141,2.322e-05,1.48,0.195,3823.0,175.5,0.492,0.064
16.08518937,3.022e-05,3.68,0.45,5239.0,166.0,0.826,0.1015
4.347288783,8.512e-06,2.36,0.33999999999999997,5754.0,78.0,1.122,0.161
23.58917143,5.786e-05,3.16,0.315,4919.0,146.0,0.721,0.07200000000000001
10.526294577,1.783e-06,8.24,1.1400000000000001,5386.0,159.0,0.793,0.10999999999999999
18.82744023,7.934e-05,2.7,0.515,5687.0,169.0,0.86,0.164
10.35533116,2.087e-05,2.47,0.44999999999999996,5501.0,155.5,0.918,0.167
4.190425659,1.611e-06,6.21,1.4349999999999998,6073.0,211.0,1.135,0.2625
3.709870784,3.043e-06,4.35,0.46,5727.0,81.0,0.978,0.104
11.1199028,1.166e-05,2.08,0.115,5078.0,101.0,0.766,0.042499999999999996
16.3297527,3.611e-05,3.75,0.79,5878.0,175.5,0.987,0.208
3.04033046,3.37e-07,8.99,0.895,5035.0,151.0,0.791,0.07899999999999999
9.74048508,2.348e-05,0.95,0.06,5051.0,159.0,0.721,0.044
14.5598556,0.0001612,1.64,0.35,5959.0,177.5,0.966,0.205
5.747711909,7.488e-06,1.86,0.08,4252.0,84.0,0.632,0.028
1.980356674,2.322e-06,2.1,0.32999999999999996,6078.0,127.0,1.189,0.1875
80.8723469,0.0001468,7.59,1.38,5510.0,76.5,1.238,0.2245
12.91385906,4.319e-05,2.49,0.525,6253.0,187.5,0.997,0.20950000000000002
7.203855862,5.921e-06,2.25,0.15000000000000002,3834.0,80.5,0.539,0.035500000000000004
3.750832927,1.216e-06,4.61,0.875,5776.0,165.0,0.95,0.18
4.243748097,3.056e-06,3.16,0.62,5873.0,158.0,0.843,0.1655
58.0337426,0.0002476,3.21,0.53,5467.0,77.5,1.152,0.19
18.42794957,4.274e-05,2.24,0.1,4768.0,80.5,0.779,0.0355
26.6757818,0.0001187,2.69,0.44499999999999995,5467.0,77.5,1.152,0.19
16.54295261,5.362e-05,2.31,0.27999999999999997,5215.0,165.0,0.867,0.10550000000000001
11.023474798,7.634e-06,2.46,0.165,3744.0,79.5,0.537,0.035500000000000004
14.4252635,0.0001002,1.68,0.275,5467.0,77.5,1.152,0.19
6.83440674,1.924e-05,1.01,0.05,4498.0,90.0,0.635,0.032
22.18431824,2.569e-05,3.18,0.355,5157.0,153.0,0.818,0.091
18.00932214,1.014e-05,4.96,0.98,5815.0,153.0,0.877,0.17350000000000002
17.58751692,2.11e-05,4.03,0.68,5433.0,77.0,1.107,0.186
10.91274065,1.465e-05,2.13,0.14,3834.0,80.5,0.539,0.035500000000000004
9.02436414,4.004e-05,1.62,0.23,5885.0,111.0,1.111,0.156
112.303136,0.001722,1.3,0.060000000000000005,4401.0,78.0,0.595,0.027
10.66489514,4.548e-05,1.76,0.39999999999999997,6014.0,200.5,1.021,0.233
16.09227518,6.165e-05,0.98,0.055,4657.0,93.0,0.67,0.036000000000000004
4.30165843,3.67e-06,2.42,0.395,5480.0,155.5,0.865,0.14150000000000001
207.24785,0.002627,1.56,0.075,4339.0,82.5,0.553,0.0265
8.22241355,1.052e-05,2.28,0.1,4213.0,84.0,0.615,0.028
5.640676975,3.725e-06,4.59,0.725,5794.0,78.0,1.216,0.192
40.606895,0.0001893,2.67,0.33999999999999997,5538.0,78.5,1.027,0.131
18.49234792,3.313e-05,3.34,0.47,5289.0,159.0,0.838,0.118
36.4454001,0.0001809,1.99,0.09,4126.0,82.0,0.615,0.028
6.51003001,1.319e-05,2.78,0.625,5638.0,162.5,1.153,0.2585
35.18105723,9.807e-05,4.17,0.89,6520.0,201.5,1.215,0.2595
13.21409607,3.701e-05,2.77,0.33,5333.0,151.0,0.728,0.086
11.41941928,4.965e-05,0.99,0.05,4498.0,90.0,0.635,0.032
9.66857386,1.899e-05,1.9,0.26,5288.0,184.0,0.836,0.11399999999999999
28.9060526,0.000233,0.79,0.04,4657.0,93.0,0.67,0.036000000000000004
4.79860021,5.329e-06,2.51,0.41000000000000003,5631.0,160.5,0.847,0.138
17.20522898,2.46e-05,2.22,0.245,5211.0,141.0,0.689,0.07500000000000001
4.081411554,8.9e-06,1.0,0.05,4498.0,90.0,0.635,0.032
7.65880048,1.326e-05,2.19,0.395,5657.0,152.0,0.855,0.1535
135.4978256,0.0003364,6.01,0.375,5307.0,105.0,0.757,0.047
9.3789167,2.173e-05,2.03,0.33999999999999997,5684.0,170.0,0.808,0.135
29.9111886,9.444e-05,2.9,0.31999999999999995,5275.0,78.0,0.969,0.10650000000000001
25.69581456,5.824e-05,1.7,0.27,3787.0,183.5,0.477,0.0765
1.616883373,2.284e-06,4.47,1.5950000000000002,4868.0,69.0,1.816,0.647
22.2508509,0.000137,2.07,0.13,5307.0,105.0,0.757,0.047
29.00789166,8.475e-05,2.64,0.325,5295.0,151.0,0.801,0.099
0.928310036,2.161e-06,1.16,0.055,4109.0,82.0,0.602,0.028499999999999998
7.37867551,3.746e-05,1.11,0.11,5936.0,112.0,0.965,0.0945
4.147021189,8.93e-07,7.31,1.8050000000000002,5818.0,167.0,1.205,0.2975
6.010383339,1.664e-06,3.8,0.33499999999999996,4882.0,138.5,0.738,0.065
133.460999,0.0002571,11.21,2.155,5588.0,79.0,1.593,0.3065
5.14892346,1.247e-05,1.72,0.195,3464.0,62.0,0.328,0.038
3.60011712,1.624e-05,0.5,0.03,5051.0,159.0,0.721,0.044
8.01078456,1.061e-05,1.72,0.165,3713.0,83.0,0.47,0.045
12.07134205,4.21e-05,1.29,0.125,3713.0,83.0,0.47,0.045
20.99587872,7.662e-05,1.3,0.125,3713.0,83.0,0.47,0.045
12.58229808,2.736e-05,1.53,0.04,5587.0,79.0,1.423,0.0365
18.59611518,4.871e-05,1.53,0.1,3834.0,80.5,0.539,0.035500000000000004
1.565412613,1.601e-06,1.73,0.20500000000000002,3464.0,62.0,0.328,0.038
15.95995611,2.466e-05,2.27,0.22,5936.0,112.0,0.965,0.0945
16.21774917,2.713e-05,2.22,0.375,5837.0,158.0,0.798,0.1335
33.67280658,9.037e-05,1.86,0.05,5587.0,79.0,1.423,0.0365
2.576571021,1.951e-06,1.57,0.105,3834.0,80.5,0.539,0.035500000000000004
17.3408735,0.0001296,1.43,0.2,5885.0,111.0,1.111,0.156
3.705991661,4.78e-06,2.43,0.545,6187.0,219.0,1.034,0.233
27.9541337,0.0001727,1.9,0.095,4500.0,90.0,0.646,0.0315
42.1406089,0.0003143,1.85,0.09,4500.0,90.0,0.646,0.0315
2.211116989,2.691e-06,1.85,0.09,4500.0,90.0,0.646,0.0315
3.036208739,7.243e-06,1.4,0.16,3464.0,62.0,0.328,0.038
4.617490562,9.45e-06,1.62,0.08,4500.0,90.0,0.646,0.0315
10.19849255,3.25e-05,1.75,0.08499999999999999,4500.0,90.0,0.646,0.0315
8.600099313,5.05e-06,4.17,0.51,5246.0,150.0,0.805,0.0985
4.54586982,1.253e-05,0.65,0.04,5051.0,159.0,0.721,0.044
12.37646897,1.383e-05,2.53,0.11499999999999999,4200.0,84.0,0.607,0.028
17.7838298,0.0001314,1.6,0.37,6014.0,200.5,1.021,0.233
5.263415218,3.366e-06,3.77,0.875,6099.0,192.5,1.028,0.2385
9.07098164,1.314e-05,2.94,0.5549999999999999,5672.0,162.5,0.929,0.176
9.549277089,5.287e-06,1.57,0.22499999999999998,3547.0,75.5,0.369,0.053000000000000005
4.89721006,1.996e-05,1.48,0.18,5093.0,160.0,0.847,0.102
14.28228147,2.82e-05,1.82,0.08499999999999999,4102.0,86.0,0.595,0.028
2.628117322,1.77e-06,1.77,0.25,3939.0,282.0,0.557,0.07899999999999999
14.03490255,2.387e-05,2.41,0.30000000000000004,5258.0,150.0,0.785,0.0965
10.35586478,2.054e-05,1.92,0.08,4646.0,78.5,0.778,0.0315
9.99760285,2.627e-05,2.82,0.58,6004.0,190.0,0.977,0.2015
90.4117992,0.0004656,3.96,0.815,6004.0,190.0,0.977,0.2015
51.0674355,0.0003497,2.44,0.505,6004.0,190.0,0.977,0.2015
1.682695938,1.253e-06,1.23,0.12000000000000001,3669.0,82.0,0.47,0.046
3.75574267,1.068e-05,1.58,0.195,5311.0,167.0,0.788,0.097
5.72812616,2.077e-05,1.38,0.08499999999999999,3968.0,79.0,0.548,0.033
15.77980122,4.673e-05,2.11,0.41000000000000003,5941.0,169.0,0.911,0.1775
24.85466504,5.637e-05,7.61,1.97,6967.0,198.0,2.527,0.6545
4.24153629,2.203e-05,1.44,0.335,5776.0,163.5,1.047,0.2445
27.52194772,3.058e-05,2.47,0.19,3780.0,79.5,0.511,0.03949999999999999
3.17323012,1.095e-05,0.88,0.07500000000000001,4500.0,133.0,0.633,0.052500000000000005
13.73474071,4.209e-05,2.71,0.31,5196.0,145.5,0.772,0.088
13.71938426,4.912e-05,1.98,0.415,6387.0,182.0,1.105,0.23399999999999999
30.99664113,4.695e-05,2.43,0.185,5324.0,106.0,0.853,0.0655
16.080657264,8.077e-06,4.43,0.305,5303.0,106.0,0.817,0.0565
13.2970695,0.0001073,0.91,0.07500000000000001,4500.0,133.0,0.633,0.052500000000000005
3.722158895,3.79e-06,2.33,0.37,5617.0,152.0,0.806,0.1275
7.8774163,1.493e-05,2.16,0.1,4126.0,82.0,0.615,0.028
2.820190603,3.592e-06,2.53,0.335,5831.0,78.0,1.121,0.148
21.21712312,6.192e-05,2.97,0.66,6191.0,187.5,1.007,0.2235
13.64617478,3.407e-05,2.06,0.315,5569.0,157.5,0.829,0.127
55.6391882,0.0002097,3.13,0.645,5949.0,184.5,0.962,0.198
